Số nhị phân là gì?;;;Câu trả lời đúng là: Các số 1 và 0.
Trong Powerpoint, để Tìm kiếm và Thay thế từ đó bằng từ khác trong dùng tổ hợp phím:;;;Câu trả lời đúng là: Ctrl + H
Trong Powerpoint, muốn xóa slide hiện thời, thao tác cần thực hiện là:;;;Câu trả lời đúng là: Chọn slide cần xóa và nhấn phím Delete
Hãy chọn đáp án phù hợp để điền vào chỗ trống “……” để hoàn thành câu sau:“Bài thuyết trình càng được …… thì càng tăng sức thuyết phục. Một trong những nguyên tắc cơ bản là không phải trình bày những gì bạn muốn mà trình bày những gì họ muốn nghe”.;;;Câu trả lời đúng là: chuẩn bị chu đáo
Trong Powerpoint 2016, để Tạo hiệu ứng chuyển đổi giữa các trang, thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Transitions, chọn kiểu Transitions tương ứng.
Trong Powerpoint, muốn định dạng kiểu chữ Đậm, nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + B
Trong PowerPoint, vào menu Design, chọn Themes dùng để làm gì?;;;Câu trả lời đúng là: Định dạng giao diện của slide.
Trong Powerpoint 2016, để định dạng kiểu chữ Nghiêng (Italic) cho nội dung,  thực hiện:;;;Câu trả lời đúng là: Vào menu Home.
Trong Powerpoint, muốn ẩn hoặc hiện thanh công cụ Ribbon, người sử dụng dùng tổ hợp phím nào?;;;Câu trả lời đúng là: Ctrl + F1
Trong Powerpoint 2016, để định dạng canh trái, phải, giữa... cho bảng tính, thực hiện:;;;Câu trả lời đúng là: Vào menu Home | Paragraph
Trong Powerpoint 2016, để Chèn tiêu đề (Header and Footer) cho Silde thực hiện thao tác:;;;Câu trả lời đúng là: Vào menu Insert, chọn Header & Footer.
Trong Powerpoint, tổ hợp phím nào sẽ dùng để bật hộp thoại Tìm kiếm?;;;Câu trả lời đúng là: Ctrl + F
Trong PowerPoint, khi chèn 1 đoạn nhạc vào Slide máy sẽ thông báo kiểu chọn “When clicked” nghĩa là:;;;Câu trả lời đúng là: Khi trình chiếu kích chuột
Trong Powerpoint 2016, để Chèn được công thức toán học (Equation) thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Equation
Chọn đáp án đúngKhi kể một cấu chuyện hay một ví dụ thực tế, bạn nên chọn cách nói nào cho phù hợp nhất?;;;Câu trả lời đúng là: Nói tùy hứng
Trong Powerpoint 2016, sau khi áp hiệu ứng cho đối tượng trên Slide, muốn hiệu ứng xuất hiện đồng thời khi trình diễn, tại mục Start chọn:;;;Câu trả lời đúng là: With previous.
Trong Powerpoint, trên 1 Textbox có nhiều dòng khác nhau nhưng không đều nhau, sau khi đã chọn đối tượng, và muốn có định dạng canh bằng hai bên (Justified). Nhấn tổ hợp phím nào để thực hiện điều này?;;;Câu trả lời đúng là: Ctrl + J
Trong Powerpoint 2016, vào menu Insert, chọn Chart, và chọn Pie… dùng để:;;;Câu trả lời đúng là: Để chèn biểu đồ hình tròn.
Trong  Powerpoint 2016, vào menu File, chọn Close dùng để;;;Câu trả lời đúng là: Đóng tệp hiện tại
Trong Powerpoint 2016, để Chèn số trang cho slide (Slide Number) vào tài liệu thực hiện:;;;Câu trả lời đúng là: Vào menu Insert, chọn Slide Number.
Dùng từ ngữ chuyên sâu sẽ làm khách hàng cảm thấy khó hiểu và làm cho buổi thuyết trình thất bại. Đúng hay sai?;;;Câu trả lời đúng là: Đúng
